i;j;player;rival;seed;pScore;rScore;winner;secs;pFled;rFled;pHits;rHits;pKnocked;rKnocked;pCol;rCol;detail
0;14;Muralla;Engano;4246;27;11;Player;9;0;11;7;0;0;7;28;12;P:GuaC=0/0/7/0/0 P:RecC=15/15/0/0/0 P:RecC=12/13/0/0/0 R:SeñC=0/0/0/6/0 R:RecC=5/6/0/1/5 R:RecC=6/6/0/0/6 
0;15;Muralla;Rebano;4246;19;16;Player;10;3;6;4;0;0;4;23;22;P:GuaC=0/0/4/0/0 P:RecC=12/15/0/0/0 P:RecC=7/8/0/0/3 R:RecC=3/7/0/2/5 R:RecV=11/13/0/0/1 R:SeñV=2/2/0/2/0 
1;0;MurallaVetas;Muralla;4246;21;30;Rival;9;0;0;0;0;0;0;29;37;P:GuaV=5/7/0/0/0 P:RecV=9/12/0/0/0 P:RecV=7/10/0/0/0 R:GuaC=6/7/0/0/0 R:RecC=12/15/0/0/0 R:RecC=12/15/0/0/0 
1;1;MurallaVetas;MurallaVetas;4246;18;18;None;9;4;5;2;3;3;2;19;20;P:GuaV=3/3/2/0/0 P:RecV=9/9/0/1/1 P:RecV=6/7/0/2/3 R:GuaV=3/4/3/0/0 R:RecV=9/9/0/0/2 R:RecV=6/7/0/2/3 
1;2;MurallaVetas;Hormiguero;4246;22;18;Player;9;0;0;1;0;0;1;24;20;P:GuaV=5/5/1/0/0 P:RecV=10/10/0/0/0 P:RecV=7/9/0/0/0 R:RecV=3/5/0/1/0 R:RecV=9/9/0/0/0 R:RecV=6/6/0/0/0 
1;3;MurallaVetas;HormigueroSenuelo;4246;22;23;Rival;9;0;2;0;0;0;0;25;25;P:GuaV=4/4/0/0/0 P:RecV=9/10/0/0/0 P:RecV=9/11/0/0/0 R:RecV=9/10/0/0/0 R:RecV=6/7/0/0/2 R:SeñC=8/8/0/0/0 
1;4;MurallaVetas;Jauria;4246;16;20;Rival;9;1;0;1;2;2;1;19;23;P:GuaV=0/0/1/1/0 P:RecV=5/8/0/1/1 P:RecV=11/11/0/0/0 R:CazC=6/7/0/0/0 R:CazV=2/4/2/1/0 R:RecV=12/12/0/0/0 
1;5;MurallaVetas;JauriaCentro;4246;19;22;Rival;9;1;0;0;0;0;0;22;26;P:GuaV=5/7/0/0/0 P:RecV=10/11/0/0/0 P:RecV=4/4/0/0/1 R:CazC=6/6/0/0/0 R:CazC=4/5/0/0/0 R:RecC=12/15/0/0/0 
1;6;MurallaVetas;Emboscada;4246;18;19;Rival;9;2;0;3;1;1;3;20;21;P:GuaV=0/1/3/0/0 P:RecV=7/8/0/1/1 P:RecV=11/11/0/0/1 R:CazV=4/6/1/0/0 R:SeñV=0/0/0/3/0 R:RecC=15/15/0/0/0 
1;7;MurallaVetas;Mixta;4246;22;24;Rival;9;0;1;1;0;0;1;25;24;P:GuaV=5/6/1/0/0 P:RecV=9/9/0/0/0 P:RecV=8/10/0/0/0 R:GuaC=6/6/0/0/0 R:CazC=6/6/0/0/0 R:RecV=12/12/0/1/1 
1;8;MurallaVetas;Codicia;4246;24;38;Rival;9;0;0;0;0;0;0;27;40;P:GuaV=6/8/0/0/0 P:RecV=9/10/0/0/0 P:RecV=9/9/0/0/0 R:RecC=12/14/0/0/0 R:RecC=12/12/0/0/0 R:RecC=14/14/0/0/0 
1;9;MurallaVetas;Escolta;4246;19;21;Rival;9;2;1;3;1;1;3;19;25;P:GuaV=0/0/3/1/0 P:RecV=9/9/0/0/1 P:RecV=10/10/0/0/1 R:CazC=7/7/0/0/0 R:CazV=2/4/1/3/0 R:RecC=12/14/0/0/1 
1;10;MurallaVetas;Senuelos;4246;21;8;Player;9;1;7;3;0;0;3;21;12;P:GuaV=0/0/3/0/0 P:RecV=10/10/0/0/1 P:RecV=11/11/0/0/0 R:SeñC=2/4/0/0/1 R:SeñV=0/0/0/2/2 R:RecV=6/8/0/1/4 
1;11;MurallaVetas;DobleGuardia;4246;22;27;Rival;9;1;0;0;1;1;0;23;27;P:GuaV=7/7/0/0/0 P:RecV=9/9/0/0/1 P:RecV=6/7/0/1/0 R:GuaC=6/6/0/0/0 R:GuaV=6/6/1/0/0 R:RecC=15/15/0/0/0 
1;12;MurallaVetas;ContraJauria;4246;20;18;Player;9;5;1;2;2;2;2;21;21;P:GuaV=4/4/2/1/0 P:RecV=8/9/0/0/2 P:RecV=8/8/0/1/3 R:GuaV=6/8/1/2/0 R:CazV=4/4/1/0/0 R:RecV=8/9/0/0/1 
1;13;MurallaVetas;Fortin;4246;22;24;Rival;9;0;1;3;0;0;3;24;24;P:GuaV=2/3/3/0/0 P:RecV=10/11/0/0/0 P:RecV=10/10/0/0/0 R:GuaC=4/4/0/3/0 R:CazV=8/8/0/0/0 R:RecC=12/12/0/0/1 
1;14;MurallaVetas;Engano;4246;25;30;Rival;9;0;0;0;0;0;0;26;32;P:GuaV=7/7/0/0/0 P:RecV=9/9/0/0/0 P:RecV=9/10/0/0/0 R:SeñC=6/7/0/0/0 R:RecC=12/12/0/0/0 R:RecC=12/13/0/0/0 
1;15;MurallaVetas;Rebano;4246;19;26;Rival;9;1;0;2;0;0;2;22;30;P:GuaV=2/2/2/0/0 P:RecV=9/10/0/0/1 P:RecV=8/10/0/0/0 R:RecC=12/15/0/0/0 R:RecV=12/13/0/0/0 R:SeñV=2/2/0/2/0 
2;0;Hormiguero;Muralla;4246;20;28;Rival;9;0;0;0;0;0;0;28;33;P:RecV=6/9/0/0/0 P:RecV=7/10/0/0/0 P:RecV=7/9/0/0/0 R:GuaC=4/4/0/0/0 R:RecC=12/14/0/0/0 R:RecC=12/15/0/0/0 
2;1;Hormiguero;MurallaVetas;4246;21;21;None;9;0;0;0;0;0;0;21;21;P:RecV=7/7/0/0/0 P:RecV=8/8/0/0/0 P:RecV=6/6/0/0/0 R:GuaV=5/5/0/0/0 R:RecV=8/8/0/0/0 R:RecV=8/8/0/0/0 
2;2;Hormiguero;Hormiguero;4246;23;19;Player;9;0;0;0;0;0;0;25;19;P:RecV=9/9/0/0/0 P:RecV=8/10/0/0/0 P:RecV=6/6/0/0/0 R:RecV=6/6/0/0/0 R:RecV=6/6/0/0/0 R:RecV=7/7/0/0/0 
2;3;Hormiguero;HormigueroSenuelo;4246;24;24;None;9;0;0;0;0;0;0;24;25;P:RecV=7/7/0/0/0 P:RecV=8/8/0/0/0 P:RecV=9/9/0/0/0 R:RecV=8/8/0/0/0 R:RecV=10/10/0/0/0 R:SeñC=6/7/0/0/0 
2;4;Hormiguero;Jauria;4246;19;20;Rival;9;5;0;0;2;2;0;20;22;P:RecV=7/7/0/1/1 P:RecV=5/6/0/1/2 P:RecV=7/7/0/0/2 R:CazC=4/4/1/0/0 R:CazV=4/4/1/0/0 R:RecV=12/14/0/0/0 
2;5;Hormiguero;JauriaCentro;4246;21;22;Rival;9;2;0;0;1;1;0;22;26;P:RecV=6/6/0/1/0 P:RecV=5/6/0/0/2 P:RecV=10/10/0/0/0 R:CazC=4/6/1/0/0 R:CazC=6/6/0/0/0 R:RecC=12/14/0/0/0 
2;6;Hormiguero;Emboscada;4246;26;22;Player;9;2;0;0;0;0;0;26;26;P:RecV=9/9/0/0/0 P:RecV=8/8/0/0/1 P:RecV=9/9/0/0/1 R:CazV=4/5/0/0/0 R:SeñV=6/6/0/0/0 R:RecC=12/15/0/0/0 
2;7;Hormiguero;Mixta;4246;24;22;Player;9;5;0;0;2;2;0;24;23;P:RecV=8/8/0/0/2 P:RecV=8/8/0/0/3 P:RecV=8/8/0/2/0 R:GuaC=6/7/0/0/0 R:CazC=4/4/2/0/0 R:RecV=12/12/0/0/0 
2;8;Hormiguero;Codicia;4246;24;36;Rival;9;0;0;0;0;0;0;30;38;P:RecV=9/9/0/0/0 P:RecV=7/10/0/0/0 P:RecV=8/11/0/0/0 R:RecC=12/13/0/0/0 R:RecC=12/13/0/0/0 R:RecC=12/12/0/0/0 
2;9;Hormiguero;Escolta;4246;14;16;Rival;9;13;0;0;3;3;0;17;19;P:RecV=7/7/0/0/3 P:RecV=2/2/0/1/8 P:RecV=5/8/0/2/2 R:CazC=4/4/1/0/0 R:CazV=0/0/2/0/0 R:RecC=12/15/0/0/0 
2;10;Hormiguero;Senuelos;4246;15;23;Rival;9;7;0;0;0;0;0;23;23;P:RecV=2/5/0/0/4 P:RecV=5/7/0/0/2 P:RecV=8/11/0/0/1 R:SeñC=8/8/0/0/0 R:SeñV=2/2/0/0/0 R:RecV=13/13/0/0/0 
2;11;Hormiguero;DobleGuardia;4246;24;24;None;9;1;0;0;0;0;0;25;26;P:RecV=9/9/0/0/0 P:RecV=8/9/0/0/1 P:RecV=7/7/0/0/0 R:GuaC=6/8/0/0/0 R:GuaV=6/6/0/0/0 R:RecC=12/12/0/0/0 
2;12;Hormiguero;ContraJauria;4246;13;16;Rival;9;15;0;0;4;4;0;14;19;P:RecV=3/3/0/2/6 P:RecV=5/6/0/1/5 P:RecV=5/5/0/1/4 R:GuaV=6/6/0/0/0 R:CazV=0/0/4/0/0 R:RecV=10/13/0/0/0 
2;13;Hormiguero;Fortin;4246;18;20;Rival;9;10;0;0;1;1;0;21;23;P:RecV=5/5/0/0/4 P:RecV=8/9/0/0/3 P:RecV=5/7/0/1/3 R:GuaC=6/6/0/0/0 R:CazV=2/2/1/0/0 R:RecC=12/15/0/0/0 
2;14;Hormiguero;Engano;4246;25;28;Rival;9;1;0;0;0;0;0;27;36;P:RecV=9/10/0/0/1 P:RecV=8/9/0/0/0 P:RecV=8/8/0/0/0 R:SeñC=4/6/0/0/0 R:RecC=12/15/0/0/0 R:RecC=12/15/0/0/0 
2;15;Hormiguero;Rebano;4246;23;30;Rival;9;3;0;0;0;0;0;26;31;P:RecV=9/10/0/0/1 P:RecV=8/10/0/0/1 P:RecV=6/6/0/0/1 R:RecC=15/15/0/0/0 R:RecV=11/11/0/0/0 R:SeñV=4/5/0/0/0 
3;0;HormigueroSenuelo;Muralla;4246;19;20;Rival;9;1;2;0;3;3;0;23;26;P:RecV=9/11/0/0/0 P:RecV=10/12/0/0/0 P:SeñC=0/0/0/3/1 R:GuaC=0/0/3/0/0 R:RecC=10/13/0/0/1 R:RecC=10/13/0/0/1 
3;1;HormigueroSenuelo;MurallaVetas;4246;24;24;None;9;1;0;0;1;1;0;24;24;P:RecV=7/7/0/0/1 P:RecV=11/11/0/0/0 P:SeñC=6/6/0/1/0 R:GuaV=4/4/1/0/0 R:RecV=9/9/0/0/0 R:RecV=11/11/0/0/0 
3;2;HormigueroSenuelo;Hormiguero;4246;26;22;Player;9;1;0;0;0;0;0;26;22;P:RecV=11/11/0/0/1 P:RecV=9/9/0/0/0 P:SeñC=6/6/0/0/0 R:RecV=10/10/0/0/0 R:RecV=6/6/0/0/0 R:RecV=6/6/0/0/0 
3;3;HormigueroSenuelo;HormigueroSenuelo;4246;22;22;None;9;1;2;0;0;0;0;23;23;P:RecV=9/10/0/0/0 P:RecV=11/11/0/0/0 P:SeñC=2/2/0/0/1 R:RecV=10/10/0/0/0 R:RecV=10/11/0/0/0 R:SeñC=2/2/0/0/2 
3;4;HormigueroSenuelo;Jauria;4246;16;18;Rival;9;1;0;0;2;2;0;22;21;P:RecV=9/11/0/0/0 P:RecV=7/10/0/0/1 P:SeñC=0/1/0/2/0 R:CazC=2/2/2/0/0 R:CazV=6/8/0/0/0 R:RecV=10/11/0/0/0 
3;5;HormigueroSenuelo;JauriaCentro;4246;17;14;Player;9;5;0;0;3;3;0;20;17;P:RecV=9/9/0/1/2 P:RecV=8/11/0/0/2 P:SeñC=0/0/0/2/1 R:CazC=2/2/1/0/0 R:CazC=0/0/2/0/0 R:RecC=12/15/0/0/0 
