i;j;player;rival;seed;pScore;rScore;winner;secs;pFled;rFled;pHits;rHits;pKnocked;rKnocked;pCol;rCol;detail
0;0;Muralla;Muralla;4246;15;22;Rival;10;2;2;4;10;10;4;21;28;P:GuaC=0/0/4/3/0 P:RecC=9/12/0/3/1 P:RecC=6/9/0/4/1 R:GuaC=0/1/10/2/0 R:RecC=13/16/0/0/0 R:RecC=9/11/0/2/2 
0;1;Muralla;Fortin;4246;19;14;Player;10;8;4;4;7;7;4;19;14;P:GuaC=0/0/4/4/0 P:RecC=10/10/0/1/4 P:RecC=9/9/0/2/4 R:GuaC=0/0/6/4/0 R:CazV=4/4/1/0/0 R:RecC=10/10/0/0/4 
0;2;Muralla;Jauria;4246;15;14;Player;9;6;0;3;5;5;3;21;18;P:GuaC=0/1/3/1/0 P:RecC=9/9/0/1/5 P:RecC=6/11/0/3/1 R:CazC=1/1/1/3/0 R:CazV=0/2/4/0/0 R:RecV=13/15/0/0/0 
0;3;Muralla;Hormiguero;4246;34;29;Player;9;0;0;0;0;0;0;34;29;P:GuaC=4/4/0/0/0 P:RecC=15/15/0/0/0 P:RecC=15/15/0/0/0 R:RecV=11/11/0/0/0 R:RecV=9/9/0/0/0 R:RecV=9/9/0/0/0 
0;4;Muralla;HormigueroSenuelo;4246;26;21;Player;9;5;2;6;0;0;6;26;26;P:GuaC=2/2/6/0/0 P:RecC=12/12/0/0/2 P:RecC=12/12/0/0/3 R:RecV=10/13/0/0/0 R:RecV=11/13/0/0/0 R:SeñC=0/0/0/6/2 
0;5;Muralla;Senuelos;4246;21;16;Player;9;7;2;5;0;0;5;23;20;P:GuaC=0/0/5/0/0 P:RecC=12/14/0/0/2 P:RecC=9/9/0/0/5 R:SeñC=0/0/0/4/2 R:SeñV=2/4/0/1/0 R:RecV=14/16/0/0/0 
0;6;Muralla;Engano;4246;28;15;Player;9;1;8;6;0;0;6;31;21;P:GuaC=0/0/6/0/0 P:RecC=13/16/0/0/0 P:RecC=15/15/0/0/1 R:SeñC=2/2/0/5/0 R:RecC=8/10/0/0/4 R:RecC=5/9/0/1/4 
0;7;Muralla;Emboscada;4246;21;8;Player;10;2;6;5;3;3;5;28;14;P:GuaC=0/1/5/0/0 P:RecC=12/15/0/1/1 P:RecC=9/12/0/2/1 R:CazV=0/2/3/1/0 R:SeñV=2/4/0/1/0 R:RecC=6/8/0/3/6 
0;8;Muralla;Codicia;4246;24;11;Player;9;0;16;4;0;0;4;30;23;P:GuaC=0/0/4/0/0 P:RecC=12/15/0/0/0 P:RecC=12/15/0/0/0 R:RecC=4/9/0/1/4 R:RecC=4/7/0/2/6 R:RecC=3/7/0/1/6 
0;9;Muralla;Mixta;4246;14;15;Rival;10;8;0;7;6;6;7;17;17;P:GuaC=0/0/7/4/0 P:RecC=7/10/0/2/3 P:RecC=7/7/0/0/5 R:GuaC=0/0/4/5/0 R:CazC=2/2/2/2/0 R:RecV=13/15/0/0/0 
1;0;Fortin;Muralla;4246;10;15;Rival;10;3;13;6;4;4;6;11;19;P:GuaC=0/0/5/3/0 P:CazV=0/0/1/1/0 P:RecC=10/11/0/0/3 R:GuaC=0/0/4/3/0 R:RecC=6/10/0/2/6 R:RecC=9/9/0/1/7 
1;1;Fortin;Fortin;4246;11;14;Rival;10;3;3;4;8;8;4;12;14;P:GuaC=0/0/4/5/0 P:CazV=4/4/0/0/0 P:RecC=7/8/0/3/3 R:GuaC=0/0/6/4/0 R:CazV=2/2/2/0/0 R:RecC=12/12/0/0/3 
1;2;Fortin;Jauria;4246;12;11;Player;10;2;2;9;2;2;9;16;14;P:GuaC=0/2/5/0/0 P:CazV=0/2/4/1/0 P:RecC=12/12/0/1/2 R:CazC=2/3/1/4/0 R:CazV=2/2/1/2/0 R:RecV=7/9/0/3/2 
