i;j;player;rival;seed;pScore;rScore;winner;secs;pFled;rFled;pHits;rHits;pKnocked;rKnocked;pCol;rCol;detail
4;2;HormigueroSenuelo;Jauria;4242;14;18;Rival;9;7;0;0;6;6;0;17;21;P:RecV=9/10/0/1/2 P:RecV=5/7/0/2/3 P:SeñC=0/0/0/3/2 R:CazC=2/2/3/0/0 R:CazV=5/5/3/0/0 R:RecV=11/14/0/0/0 
4;3;HormigueroSenuelo;Hormiguero;4242;19;18;Player;9;0;1;0;0;0;0;21;18;P:RecV=8/8/0/0/0 P:RecV=9/9/0/0/0 P:SeñC=2/4/0/0/0 R:RecV=5/5/0/0/0 R:RecV=6/6/0/0/1 R:RecV=7/7/0/0/0 
4;4;HormigueroSenuelo;HormigueroSenuelo;4242;17;17;None;9;1;2;0;0;0;0;17;17;P:RecV=9/9/0/0/0 P:RecV=8/8/0/0/0 P:SeñC=0/0/0/0/1 R:RecV=8/8/0/0/1 R:RecV=9/9/0/0/1 R:SeñC=0/0/0/0/0 
4;5;HormigueroSenuelo;Senuelos;4242;19;15;Player;9;2;4;0;0;0;0;19;15;P:RecV=11/11/0/0/1 P:RecV=8/8/0/0/1 P:SeñC=0/0/0/0/0 R:SeñC=0/0/0/0/3 R:SeñV=4/4/0/0/0 R:RecV=11/11/0/0/1 
4;6;HormigueroSenuelo;Engano;4242;17;16;Player;9;2;10;0;0;0;0;22;19;P:RecV=7/9/0/0/1 P:RecV=10/13/0/0/0 P:SeñC=0/0/0/0/1 R:SeñC=2/2/0/0/0 R:RecC=5/8/0/0/6 R:RecC=9/9/0/0/4 
4;7;HormigueroSenuelo;Emboscada;4242;16;20;Rival;9;6;2;0;5;5;0;18;25;P:RecV=9/9/0/2/2 P:RecV=5/7/0/3/3 P:SeñC=2/2/0/0/1 R:CazV=2/4/5/0/0 R:SeñV=9/9/0/0/0 R:RecC=9/12/0/0/2 
4;8;HormigueroSenuelo;Codicia;4242;23;21;Player;9;0;14;0;0;0;0;24;27;P:RecV=12/12/0/0/0 P:RecV=11/11/0/0/0 P:SeñC=0/1/0/0/0 R:RecC=9/12/0/0/3 R:RecC=7/10/0/0/5 R:RecC=5/5/0/0/6 
4;9;HormigueroSenuelo;Mixta;4242;16;17;Rival;9;9;0;0;6;6;0;19;20;P:RecV=10/11/0/1/2 P:RecV=4/6/0/1/4 P:SeñC=2/2/0/4/3 R:GuaC=2/2/2/0/0 R:CazC=2/2/4/0/0 R:RecV=13/16/0/0/0 
5;0;Senuelos;Muralla;4242;13;21;Rival;9;4;4;0;6;6;0;16;25;P:SeñC=0/0/0/3/2 P:SeñV=0/0/0/3/2 P:RecV=13/16/0/0/0 R:GuaC=0/0/6/0/0 R:RecC=10/11/0/0/2 R:RecC=11/14/0/0/2 
5;1;Senuelos;Fortin;4242;4;15;Rival;10;10;0;0;12;12;0;6;15;P:SeñC=0/2/0/3/2 P:SeñV=0/0/0/5/2 P:RecV=4/4/0/4/6 R:GuaC=0/0/7/0/0 R:CazV=0/0/5/0/0 R:RecC=15/15/0/0/0 
5;2;Senuelos;Jauria;4242;9;17;Rival;9;10;0;0;6;6;0;11;22;P:SeñC=0/2/0/1/3 P:SeñV=4/4/0/1/3 P:RecV=5/5/0/4/4 R:CazC=4/6/2/0/0 R:CazV=0/0/4/0/0 R:RecV=13/16/0/0/0 
5;3;Senuelos;Hormiguero;4242;19;17;Player;9;0;12;0;0;0;0;21;19;P:SeñC=6/6/0/0/0 P:SeñV=0/1/0/0/0 P:RecV=13/14/0/0/0 R:RecV=3/3/0/0/5 R:RecV=8/10/0/0/4 R:RecV=6/6/0/0/3 
5;4;Senuelos;HormigueroSenuelo;4242;17;19;Rival;9;3;3;0;0;0;0;18;19;P:SeñC=0/1/0/0/3 P:SeñV=5/5/0/0/0 P:RecV=12/12/0/0/0 R:RecV=8/8/0/0/2 R:RecV=11/11/0/0/1 R:SeñC=0/0/0/0/0 
5;5;Senuelos;Senuelos;4242;15;17;Rival;9;6;1;0;0;0;0;16;18;P:SeñC=0/0/0/0/3 P:SeñV=4/4/0/0/1 P:RecV=11/12/0/0/2 R:SeñC=0/1/0/0/0 R:SeñV=4/4/0/0/0 R:RecV=13/13/0/0/1 
5;6;Senuelos;Engano;4242;13;17;Rival;9;1;10;0;0;0;0;18;17;P:SeñC=0/0/0/0/0 P:SeñV=0/2/0/0/1 P:RecV=13/16/0/0/0 R:SeñC=0/0/0/0/1 R:RecC=8/8/0/0/5 R:RecC=9/9/0/0/4 
5;7;Senuelos;Emboscada;4242;13;18;Rival;9;1;3;0;6;6;0;18;23;P:SeñC=4/5/0/1/0 P:SeñV=0/0/0/3/1 P:RecV=9/13/0/2/0 R:CazV=2/2/6/0/0 R:SeñV=4/6/0/0/1 R:RecC=12/15/0/0/2 
5;8;Senuelos;Codicia;4242;15;18;Rival;9;0;19;0;0;0;0;18;21;P:SeñC=0/0/0/0/0 P:SeñV=2/2/0/0/0 P:RecV=13/16/0/0/0 R:RecC=4/4/0/0/8 R:RecC=9/9/0/0/4 R:RecC=5/8/0/0/7 
5;9;Senuelos;Mixta;4242;13;13;None;10;3;1;0;9;9;0;13;13;P:SeñC=0/0/0/4/1 P:SeñV=0/0/0/4/1 P:RecV=13/13/0/1/1 R:GuaC=0/0/5/0/0 R:CazC=0/0/4/0/0 R:RecV=13/13/0/0/1 
6;0;Engano;Muralla;4242;12;27;Rival;9;12;0;0;4;4;0;15;31;P:SeñC=0/0/0/3/1 P:RecC=7/8/0/1/6 P:RecC=5/7/0/0/5 R:GuaC=2/2/4/0/0 R:RecC=12/15/0/0/0 R:RecC=13/14/0/0/0 
6;1;Engano;Fortin;4242;9;14;Rival;10;15;1;0;8;8;0;9;17;P:SeñC=0/0/0/2/3 P:RecC=4/4/0/2/7 P:RecC=5/5/0/4/5 R:GuaC=0/0/3/0/0 R:CazV=2/2/5/0/0 R:RecC=12/15/0/0/1 
6;2;Engano;Jauria;4242;1;13;Rival;10;24;0;0;8;8;0;3;18;P:SeñC=0/0/0/1/5 P:RecC=0/2/0/3/9 P:RecC=1/1/0/4/10 R:CazC=0/0/6/0/0 R:CazV=0/2/2/0/0 R:RecV=13/16/0/0/0 
6;3;Engano;Hormiguero;4242;34;24;Player;9;0;2;0;0;0;0;36;25;P:SeñC=4/6/0/0/0 P:RecC=15/15/0/0/0 P:RecC=15/15/0/0/0 R:RecV=7/7/0/0/1 R:RecV=7/8/0/0/1 R:RecV=10/10/0/0/0 
6;4;Engano;HormigueroSenuelo;4242;21;23;Rival;9;10;2;0;0;0;0;21;23;P:SeñC=0/0/0/0/0 P:RecC=11/11/0/0/5 P:RecC=10/10/0/0/5 R:RecV=11/11/0/0/0 R:RecV=12/12/0/0/1 R:SeñC=0/0/0/0/1 
6;5;Engano;Senuelos;4242;14;15;Rival;9;12;0;0;0;0;0;18;20;P:SeñC=0/0/0/0/1 P:RecC=6/7/0/0/7 P:RecC=8/11/0/0/4 R:SeñC=0/0/0/0/0 R:SeñV=2/4/0/0/0 R:RecV=13/16/0/0/0 
6;6;Engano;Engano;4242;25;25;None;9;3;4;0;0;0;0;26;27;P:SeñC=0/0/0/0/0 P:RecC=14/14/0/0/1 P:RecC=11/12/0/0/2 R:SeñC=0/2/0/0/0 R:RecC=11/11/0/0/3 R:RecC=14/14/0/0/1 
6;7;Engano;Emboscada;4242;12;15;Rival;9;13;1;0;4;4;0;17;17;P:SeñC=0/2/0/2/1 P:RecC=5/8/0/2/5 P:RecC=7/7/0/0/7 R:CazV=0/2/4/0/0 R:SeñV=0/0/0/0/0 R:RecC=15/15/0/0/1 
