i;j;player;rival;seed;pScore;rScore;winner;secs;pFled;rFled;pHits;rHits;pKnocked;rKnocked;pCol;rCol;detail
8;6;Codicia;Engano;4246;40;26;Player;9;2;0;0;0;0;0;41;32;P:RecC=16/16/0/0/1 P:RecC=12/12/0/0/1 P:RecC=12/13/0/0/0 R:SeñC=4/5/0/0/0 R:RecC=12/14/0/0/0 R:RecC=10/13/0/0/0 
8;7;Codicia;Emboscada;4246;22;21;Player;9;13;0;0;4;4;0;25;21;P:RecC=7/8/0/2/4 P:RecC=9/10/0/1/3 P:RecC=6/7/0/1/6 R:CazV=2/2/4/0/0 R:SeñV=4/4/0/0/0 R:RecC=15/15/0/0/0 
8;8;Codicia;Codicia;4246;38;38;None;9;0;0;0;0;0;0;39;40;P:RecC=13/13/0/0/0 P:RecC=12/13/0/0/0 P:RecC=13/13/0/0/0 R:RecC=12/12/0/0/0 R:RecC=15/15/0/0/0 R:RecC=11/13/0/0/0 
8;9;Codicia;Mixta;4246;5;13;Rival;10;23;0;0;8;8;0;5;15;P:RecC=3/3/0/3/8 P:RecC=2/2/0/3/6 P:RecC=0/0/0/2/9 R:GuaC=0/0/3/0/0 R:CazC=0/0/5/0/0 R:RecV=13/15/0/0/0 
9;0;Mixta;Muralla;4246;14;16;Rival;10;0;7;6;8;8;6;15;19;P:GuaC=0/0/6/5/0 P:CazC=0/0/0/3/0 P:RecV=14/15/0/0/0 R:GuaC=0/0/8/3/0 R:RecC=7/10/0/1/4 R:RecC=9/9/0/2/3 
9;1;Mixta;Fortin;4246;3;2;Player;10;7;7;11;7;7;11;5;5;P:GuaC=0/0/8/2/0 P:CazC=0/0/3/3/0 P:RecV=3/5/0/2/7 R:GuaC=0/0/5/6/0 R:CazV=0/2/2/2/0 R:RecC=2/3/0/3/7 
9;2;Mixta;Jauria;4246;4;15;Rival;10;6;0;4;6;6;4;7;17;P:GuaC=0/1/3/1/0 P:CazC=0/0/1/2/0 P:RecV=4/6/0/3/6 R:CazC=0/0/2/4/0 R:CazV=0/2/4/0/0 R:RecV=15/15/0/0/0 
9;3;Mixta;Hormiguero;4246;23;27;Rival;9;0;3;1;0;0;1;23;29;P:GuaC=6/6/0/0/0 P:CazC=4/4/1/0/0 P:RecV=13/13/0/0/0 R:RecV=9/9/0/0/2 R:RecV=10/10/0/1/0 R:RecV=8/10/0/0/1 
9;4;Mixta;HormigueroSenuelo;4246;18;19;Rival;10;0;6;8;0;0;8;22;20;P:GuaC=2/2/5/0/0 P:CazC=2/4/3/0/0 P:RecV=14/16/0/0/0 R:RecV=10/11/0/1/2 R:RecV=9/9/0/1/2 R:SeñC=0/0/0/6/2 
9;5;Mixta;Senuelos;4246;14;15;Rival;10;0;0;9;0;0;9;17;16;P:GuaC=0/1/7/0/0 P:CazC=1/1/2/0/0 P:RecV=13/15/0/0/0 R:SeñC=0/0/0/6/0 R:SeñV=0/1/0/3/0 R:RecV=15/15/0/0/0 
9;6;Mixta;Engano;4246;15;2;Player;10;0;19;7;0;0;7;16;2;P:GuaC=0/0/3/0/0 P:CazC=0/1/4/0/0 P:RecV=15/15/0/0/0 R:SeñC=0/0/0/1/3 R:RecC=2/2/0/4/7 R:RecC=0/0/0/2/9 
9;7;Mixta;Emboscada;4246;0;1;Rival;10;8;10;4;4;4;4;3;2;P:GuaC=0/0/2/0/0 P:CazC=0/1/2/0/0 P:RecV=0/2/0/4/8 R:CazV=0/0/4/0/0 R:SeñV=0/1/0/1/1 R:RecC=1/1/0/3/9 
9;8;Mixta;Codicia;4246;15;3;Player;10;0;27;8;0;0;8;16;5;P:GuaC=0/0/5/0/0 P:CazC=0/1/3/0/0 P:RecV=15/15/0/0/0 R:RecC=2/2/0/1/11 R:RecC=1/2/0/3/8 R:RecC=0/1/0/4/8 
9;9;Mixta;Mixta;4246;13;14;Rival;10;0;0;3;5;5;3;15;15;P:GuaC=0/0/3/4/0 P:CazC=0/0/0/1/0 P:RecV=13/15/0/0/0 R:GuaC=0/0/5/3/0 R:CazC=0/0/0/0/0 R:RecV=14/15/0/0/0 
