i;j;player;rival;seed;pScore;rScore;winner;secs;pFled;rFled;pHits;rHits;pKnocked;rKnocked;pCol;rCol;detail
9;6;Mixta;Engano;4242;13;3;Player;10;0;18;11;0;0;11;16;5;P:GuaC=0/0/8/0/0 P:CazC=0/0/3/0/0 P:RecV=13/16/0/0/0 R:SeñC=0/0/0/8/0 R:RecC=3/3/0/0/9 R:RecC=0/2/0/3/9 
9;7;Mixta;Emboscada;4242;15;9;Player;9;2;8;7;0;0;7;15;11;P:GuaC=0/0/5/0/0 P:CazC=2/2/2/0/0 P:RecV=13/13/0/0/2 R:CazV=0/0/0/2/0 R:SeñV=7/7/0/1/1 R:RecC=2/4/0/4/7 
9;8;Mixta;Codicia;4242;14;3;Player;10;0;25;9;0;0;9;17;4;P:GuaC=0/0/5/0/0 P:CazC=1/1/4/0/0 P:RecV=13/16/0/0/0 R:RecC=0/1/0/3/9 R:RecC=2/2/0/2/9 R:RecC=1/1/0/4/7 
9;9;Mixta;Mixta;4242;13;13;None;10;0;0;9;7;7;9;16;16;P:GuaC=0/0/8/4/0 P:CazC=0/0/1/3/0 P:RecV=13/16/0/0/0 R:GuaC=0/0/7/3/0 R:CazC=0/0/0/5/0 R:RecV=13/16/0/1/0 
0;0;Muralla;Muralla;4246;15;11;Player;10;5;9;7;10;10;7;18;20;P:GuaC=0/0/7/5/0 P:RecC=4/6/0/3/4 P:RecC=11/12/0/2/1 R:GuaC=0/0/10/3/0 R:RecC=7/9/0/2/4 R:RecC=4/11/0/2/5 
0;1;Muralla;Fortin;4246;13;7;Player;10;7;4;8;7;7;8;22;12;P:GuaC=0/0/8/3/0 P:RecC=6/12/0/3/3 P:RecC=7/10/0/1/4 R:GuaC=0/0/7/4/0 R:CazV=0/2/0/2/0 R:RecC=7/10/0/2/4 
0;2;Muralla;Jauria;4246;15;13;Player;10;7;0;5;3;3;5;24;16;P:GuaC=0/0/5/0/0 P:RecC=9/12/0/1/4 P:RecC=6/12/0/2/3 R:CazC=0/0/1/4/0 R:CazV=0/2/2/1/0 R:RecV=13/14/0/0/0 
0;3;Muralla;Hormiguero;4246;33;25;Player;9;0;0;0;0;0;0;36;31;P:GuaC=6/6/0/0/0 P:RecC=12/15/0/0/0 P:RecC=15/15/0/0/0 R:RecV=7/10/0/0/0 R:RecV=11/11/0/0/0 R:RecV=7/10/0/0/0 
0;4;Muralla;HormigueroSenuelo;4246;25;19;Player;9;3;2;5;0;0;5;30;25;P:GuaC=2/2/5/0/0 P:RecC=11/13/0/0/2 P:RecC=12/15/0/0/1 R:RecV=10/13/0/0/1 R:RecV=9/12/0/0/0 R:SeñC=0/0/0/5/1 
0;5;Muralla;Senuelos;4246;24;14;Player;9;4;1;4;0;0;4;26;17;P:GuaC=0/2/4/0/0 P:RecC=12/12/0/0/2 P:RecC=12/12/0/0/2 R:SeñC=0/0/0/4/1 R:SeñV=0/2/0/0/0 R:RecV=14/15/0/0/0 
0;6;Muralla;Engano;4246;22;12;Player;9;2;8;6;0;0;6;26;17;P:GuaC=0/0/6/0/0 P:RecC=12/13/0/0/1 P:RecC=10/13/0/0/1 R:SeñC=0/0/0/4/1 R:RecC=10/13/0/2/1 R:RecC=2/4/0/0/6 
0;7;Muralla;Emboscada;4246;7;12;Rival;10;7;3;8;7;7;8;14;13;P:GuaC=0/0/8/0/0 P:RecC=4/7/0/2/4 P:RecC=3/7/0/5/3 R:CazV=0/0/7/1/0 R:SeñV=0/0/0/7/1 R:RecC=12/13/0/0/2 
0;8;Muralla;Codicia;4246;27;11;Player;9;0;19;3;0;0;3;30;17;P:GuaC=0/0/3/0/0 P:RecC=12/14/0/0/0 P:RecC=15/16/0/0/0 R:RecC=3/7/0/1/6 R:RecC=5/6/0/2/6 R:RecC=3/4/0/0/7 
0;9;Muralla;Mixta;4246;9;13;Rival;10;10;0;7;10;10;7;13;14;P:GuaC=0/0/7/4/0 P:RecC=1/4/0/4/6 P:RecC=8/9/0/2/4 R:GuaC=0/0/9/3/0 R:CazC=0/0/1/4/0 R:RecV=13/14/0/0/0 
1;0;Fortin;Muralla;4246;10;12;Rival;10;2;8;6;6;6;6;13;17;P:GuaC=0/0/3/3/0 P:CazV=0/2/3/1/0 P:RecC=10/11/0/2/2 R:GuaC=0/0/6/3/0 R:RecC=6/10/0/1/4 R:RecC=6/7/0/2/4 
1;1;Fortin;Fortin;4246;6;0;Player;10;2;4;12;9;9;12;10;7;P:GuaC=0/0/9/3/0 P:CazV=0/0/3/3/0 P:RecC=6/10/0/3/2 R:GuaC=0/0/7/4/0 R:CazV=0/2/2/3/0 R:RecC=0/5/0/5/4 
1;2;Fortin;Jauria;4246;7;1;Player;10;3;5;13;3;3;13;13;9;P:GuaC=0/0/6/0/0 P:CazV=0/2/7/2/0 P:RecC=7/11/0/1/3 R:CazC=1/1/3/3/0 R:CazV=0/3/0/4/0 R:RecV=0/5/0/6/5 
1;3;Fortin;Hormiguero;4246;27;19;Player;9;0;6;2;0;0;2;27;26;P:GuaC=6/6/0/0/0 P:CazV=6/6/2/0/0 P:RecC=15/15/0/0/0 R:RecV=6/10/0/1/2 R:RecV=8/10/0/0/2 R:RecV=5/6/0/1/2 
1;4;Fortin;HormigueroSenuelo;4246;15;0;Player;10;1;18;13;0;0;13;18;5;P:GuaC=2/3/6/0/0 P:CazV=0/2/7/0/0 P:RecC=13/13/0/0/1 R:RecV=0/3/0/3/9 R:RecV=0/2/0/4/9 R:SeñC=0/0/0/6/0 
1;5;Fortin;Senuelos;4246;14;9;Player;10;2;7;12;0;0;12;17;10;P:GuaC=0/0/9/0/0 P:CazV=2/2/3/0/0 P:RecC=12/15/0/0/2 R:SeñC=0/1/0/4/2 R:SeñV=0/0/0/5/1 R:RecV=9/9/0/3/4 
1;6;Fortin;Engano;4246;14;3;Player;10;1;15;14;0;0;14;15;7;P:GuaC=0/0/8/0/0 P:CazV=2/2/6/0/0 P:RecC=12/13/0/0/1 R:SeñC=0/0/0/7/0 R:RecC=2/6/0/4/5 R:RecC=1/1/0/3/10 
