i;j;player;rival;seed;pScore;rScore;winner;secs;pFled;rFled;pHits;rHits;pKnocked;rKnocked;pCol;rCol;detail
1;3;Fortin;Hormiguero;4246;21;17;Player;9;0;8;4;0;0;4;22;26;P:GuaC=4/5/0/0/0 P:CazV=2/2/4/0/0 P:RecC=15/15/0/0/0 R:RecV=3/8/0/2/3 R:RecV=10/12/0/0/1 R:RecV=4/6/0/2/4 
1;4;Fortin;HormigueroSenuelo;4246;15;4;Player;10;2;18;8;0;0;8;15;6;P:GuaC=2/2/2/0/0 P:CazV=0/0/6/0/0 P:RecC=13/13/0/0/2 R:RecV=0/2/0/4/7 R:RecV=4/4/0/2/8 R:SeñC=0/0/0/2/3 
1;5;Fortin;Senuelos;4246;12;0;Player;9;1;10;6;0;0;6;19;5;P:GuaC=0/2/4/0/0 P:CazV=0/2/2/0/0 P:RecC=12/15/0/0/1 R:SeñC=0/0/0/4/1 R:SeñV=0/2/0/0/0 R:RecV=0/3/0/2/9 
1;6;Fortin;Engano;4246;12;7;Player;9;0;15;7;0;0;7;15;8;P:GuaC=0/0/6/0/0 P:CazV=0/0/1/0/0 P:RecC=12/15/0/0/0 R:SeñC=0/0/0/3/3 R:RecC=2/2/0/3/7 R:RecC=5/6/0/1/5 
1;7;Fortin;Emboscada;4246;11;9;Player;9;3;6;2;1;1;2;17;13;P:GuaC=0/0/2/0/0 P:CazV=2/4/0/0/0 P:RecC=9/13/0/1/3 R:CazV=0/2/1/1/0 R:SeñV=2/4/0/1/0 R:RecC=7/7/0/0/6 
1;8;Fortin;Codicia;4246;15;14;Player;9;0;23;6;0;0;6;17;17;P:GuaC=0/0/3/0/0 P:CazV=0/2/3/0/0 P:RecC=15/15/0/0/0 R:RecC=5/6/0/2/8 R:RecC=4/4/0/2/9 R:RecC=5/7/0/2/6 
1;9;Fortin;Mixta;4246;0;3;Rival;10;8;9;11;7;7;11;9;3;P:GuaC=0/0/7/4/0 P:CazV=0/1/4/0/0 P:RecC=0/8/0/3/8 R:GuaC=0/0/5/4/0 R:CazC=0/0/2/3/0 R:RecV=3/3/0/4/9 
2;0;Jauria;Muralla;4246;15;11;Player;10;0;9;6;6;6;6;15;14;P:CazC=0/0/3/3/0 P:CazV=0/0/3/3/0 P:RecV=15/15/0/0/0 R:GuaC=0/0/6/0/0 R:RecC=8/8/0/3/3 R:RecC=3/6/0/3/6 
2;1;Jauria;Fortin;4246;0;7;Rival;10;7;5;0;10;10;0;3;11;P:CazC=0/0/0/5/0 P:CazV=0/2/0/0/0 P:RecV=0/1/0/5/7 R:GuaC=0/0/5/0/0 R:CazV=0/1/5/0/0 R:RecC=7/10/0/0/5 
2;2;Jauria;Jauria;4246;0;3;Rival;10;6;7;5;4;4;5;3;4;P:CazC=0/0/0/0/0 P:CazV=0/1/5/0/0 P:RecV=0/2/0/4/6 R:CazC=0/0/0/0/0 R:CazV=0/1/4/0/0 R:RecV=3/3/0/5/7 
2;3;Jauria;Hormiguero;4246;22;13;Player;9;0;13;5;0;0;5;25;21;P:CazC=6/8/0/0/0 P:CazV=3/3/5/0/0 P:RecV=13/14/0/0/0 R:RecV=5/7/0/0/5 R:RecV=6/7/0/2/4 R:RecV=2/7/0/3/4 
2;4;Jauria;HormigueroSenuelo;4246;16;2;Player;10;0;17;9;0;0;9;16;4;P:CazC=2/2/2/0/0 P:CazV=0/0/7/0/0 P:RecV=14/14/0/0/0 R:RecV=0/2/0/5/7 R:RecV=2/2/0/2/9 R:SeñC=0/0/0/2/1 
2;5;Jauria;Senuelos;4246;15;9;Player;10;0;9;8;0;0;8;16;9;P:CazC=2/2/3/0/0 P:CazV=0/0/5/0/0 P:RecV=13/14/0/0/0 R:SeñC=2/2/0/2/2 R:SeñV=4/4/0/2/0 R:RecV=3/3/0/4/7 
2;6;Jauria;Engano;4246;13;0;Player;10;0;21;7;0;0;7;16;1;P:CazC=0/0/6/0/0 P:CazV=0/2/1/0/0 P:RecV=13/14/0/0/0 R:SeñC=0/1/0/1/2 R:RecC=0/0/0/4/9 R:RecC=0/0/0/2/10 
2;7;Jauria;Emboscada;4246;2;3;Rival;10;8;5;4;3;3;4;5;7;P:CazC=0/1/3/0/0 P:CazV=2/2/1/0/0 P:RecV=0/2/0/3/8 R:CazV=0/2/3/1/0 R:SeñV=0/0/0/0/0 R:RecC=3/5/0/3/5 
2;8;Jauria;Codicia;4246;15;8;Player;10;0;22;9;0;0;9;17;15;P:CazC=0/0/6/0/0 P:CazV=0/2/3/0/0 P:RecV=15/15/0/0/0 R:RecC=2/5/0/3/7 R:RecC=3/6/0/3/8 R:RecC=3/4/0/3/7 
2;9;Jauria;Mixta;4246;14;0;Player;10;0;7;7;5;5;7;14;4;P:CazC=0/0/2/5/0 P:CazV=0/0/5/0/0 P:RecV=14/14/0/0/0 R:GuaC=0/1/3/1/0 R:CazC=0/1/2/1/0 R:RecV=0/2/0/5/7 
3;0;Hormiguero;Muralla;4246;25;33;Rival;9;1;0;0;0;0;0;31;36;P:RecV=7/10/0/0/0 P:RecV=7/10/0/0/1 P:RecV=11/11/0/0/0 R:GuaC=6/6/0/0/0 R:RecC=12/15/0/0/0 R:RecC=15/15/0/0/0 
3;1;Hormiguero;Fortin;4246;5;21;Rival;10;20;0;0;8;8;0;14;22;P:RecV=0/3/0/3/9 P:RecV=0/3/0/4/7 P:RecV=5/8/0/1/4 R:GuaC=6/6/0/0/0 R:CazV=0/1/8/0/0 R:RecC=15/15/0/0/0 
3;2;Hormiguero;Jauria;4246;10;21;Rival;9;17;0;0;5;5;0;17;23;P:RecV=3/7/0/2/5 P:RecV=4/4/0/2/6 P:RecV=3/6/0/1/6 R:CazC=6/6/1/0/0 R:CazV=0/2/4/0/0 R:RecV=15/15/0/0/0 
3;3;Hormiguero;Hormiguero;4246;21;21;None;9;0;0;0;0;0;0;21;21;P:RecV=6/6/0/0/0 P:RecV=9/9/0/0/0 P:RecV=6/6/0/0/0 R:RecV=6/6/0/0/0 R:RecV=8/8/0/0/0 R:RecV=7/7/0/0/0 
3;4;Hormiguero;HormigueroSenuelo;4246;25;23;Player;9;1;0;0;0;0;0;28;23;P:RecV=9/9/0/0/1 P:RecV=9/12/0/0/0 P:RecV=7/7/0/0/0 R:RecV=10/10/0/0/0 R:RecV=7/7/0/0/0 R:SeñC=6/6/0/0/0 
